slug,asset,window_start,window_seconds,volume_usd,strike,sigma_per_sec,ticks,signal,signal_minute,signal_edge_up,p_poly_at_signal,p_fair_at_signal,fill_price,outcome,correct,pnl_naive,pnl_realistic,note
btc-updown-5m-1779847500,bitcoin,2026-05-27 02:05:00+00:00,300,48249.182692999995,75828.81,5e-05,5,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
btc-updown-5m-1779848100,bitcoin,2026-05-27 02:15:00+00:00,300,49479.385776999974,75830.02,5e-05,5,DOWN,1.0,-0.10251170791102276,0.535,0.43248829208897727,0.48,DOWN,True,0.535,0.515,
btc-updown-5m-1779848700,bitcoin,2026-05-27 02:25:00+00:00,300,52405.630306999934,75766.52,5e-05,5,DOWN,1.0,-0.06197066463124218,0.545,0.48302933536875786,0.47,UP,False,-0.45499999999999996,-0.475,
btc-updown-5m-1779849000,bitcoin,2026-05-27 02:30:00+00:00,300,54494.13754599993,75762.0,5e-05,5,DOWN,1.0,-0.1615943343577922,0.505,0.3434056656422078,0.51,UP,False,-0.495,-0.515,
btc-updown-5m-1779849300,bitcoin,2026-05-27 02:35:00+00:00,300,51949.264972999954,75802.01,5e-05,5,DOWN,1.0,-0.1919200372720385,0.525,0.33307996272796153,0.49,DOWN,True,0.525,0.505,
btc-updown-5m-1779849600,bitcoin,2026-05-27 02:40:00+00:00,300,52725.017081,75729.41,5e-05,5,DOWN,1.0,-0.07076501334591334,0.575,0.5042349866540866,0.44000000000000006,UP,False,-0.42500000000000004,-0.44500000000000006,
btc-updown-5m-1779849900,bitcoin,2026-05-27 02:45:00+00:00,300,63715.08480499995,75747.94,5e-05,5,UP,1.0,0.052985967577860116,0.555,0.6079859675778602,0.5700000000000001,UP,True,0.44499999999999995,0.42499999999999993,
btc-updown-5m-1779850200,bitcoin,2026-05-27 02:50:00+00:00,300,52036.354129999985,75753.46,5e-05,5,UP,2.0,0.16409227736657472,0.555,0.7190922773665748,0.5700000000000001,UP,True,0.44499999999999995,0.42499999999999993,
btc-updown-5m-1779850800,bitcoin,2026-05-27 03:00:00+00:00,300,126257.64476299935,75840.27,5e-05,5,UP,1.0,0.1136707559870761,0.505,0.6186707559870761,0.52,UP,True,0.495,0.475,
btc-updown-5m-1779851100,bitcoin,2026-05-27 03:05:00+00:00,300,110099.32261399957,75962.84,5e-05,5,DOWN,2.0,-0.23303755500711942,0.765,0.5319624449928806,0.25,UP,False,-0.235,-0.255,
btc-updown-5m-1779851400,bitcoin,2026-05-27 03:10:00+00:00,300,109027.03162399986,75923.43,5e-05,5,DOWN,1.0,-0.22579745594584932,0.615,0.38920254405415067,0.4,DOWN,True,0.615,0.595,
btc-updown-5m-1779851700,bitcoin,2026-05-27 03:15:00+00:00,300,47914.10150399994,75877.9,5e-05,5,DOWN,1.0,-0.07173326591252671,0.505,0.4332667340874733,0.51,DOWN,True,0.505,0.485,
