entry_time,exit_time,dir,entry,exit,sl,tp,points,pnl,reason,equity
2026-03-23 10:45:00-04:00,2026-03-23 11:40:00-04:00,1,24625.0,24527.25,24527.25,24771.625,-98.25,-197.74,SL,-197.74
2026-03-23 12:15:00-04:00,2026-03-26 12:15:00-04:00,-1,24419.75,24014.0,24690.25,24014.0,405.25,809.26,TP,611.52
2026-03-26 13:00:00-04:00,2026-03-26 15:55:00-04:00,-1,23987.25,23776.875,24127.5,23776.875,209.875,418.51,TP,1030.03
2026-03-27 09:50:00-04:00,2026-03-27 09:55:00-04:00,-1,23588.5,23485.375,23657.25,23485.375,102.625,204.01,TP,1234.04
2026-03-27 10:20:00-04:00,2026-03-27 15:00:00-04:00,-1,23516.25,23319.375,23647.5,23319.375,196.375,391.51,TP,1625.55
2026-03-27 15:20:00-04:00,2026-03-27 16:20:00-04:00,-1,23331.75,23234.625,23396.5,23234.625,96.625,192.01,TP,1817.56
2026-03-30 10:15:00-04:00,2026-03-30 15:25:00-04:00,-1,23327.75,23033.75,23523.75,23033.75,293.5,585.76,TP,2403.3199999999997
2026-03-31 09:45:00-04:00,2026-03-31 12:35:00-04:00,1,23468.5,23636.125,23356.75,23636.125,167.125,333.01,TP,2736.33
2026-03-31 13:15:00-04:00,2026-04-07 18:00:00-04:00,1,23842.75,24453.625,23435.5,24453.625,610.375,1219.51,TP,3955.84
2026-04-08 10:05:00-04:00,2026-04-09 12:00:00-04:00,-1,25074.0,25237.5,25237.5,24828.75,-164.0,-329.24,SL,3626.6000000000004
2026-04-09 12:15:00-04:00,2026-04-12 18:10:00-04:00,1,25241.25,25048.25,25048.25,25530.75,-193.5,-388.24,SL,3238.3600000000006
2026-04-13 09:45:00-04:00,2026-04-13 12:50:00-04:00,1,25215.0,25427.625,25073.25,25427.625,212.125,423.01,TP,3661.370000000001
2026-04-13 15:15:00-04:00,2026-04-13 15:50:00-04:00,1,25444.0,25516.375,25395.75,25516.375,71.875,142.51,TP,3803.880000000001
2026-04-14 10:05:00-04:00,2026-04-14 11:25:00-04:00,1,25735.0,25840.0,25665.0,25840.0,104.5,207.76,TP,4011.6400000000012
2026-04-14 12:10:00-04:00,2026-04-15 10:15:00-04:00,1,25896.25,26097.25,25762.25,26097.25,200.5,399.76,TP,4411.4000000000015
2026-04-15 10:55:00-04:00,2026-04-15 21:40:00-04:00,1,26169.75,26451.375,25982.0,26451.375,281.125,561.01,TP,4972.410000000002
2026-04-16 10:15:00-04:00,2026-04-16 11:00:00-04:00,-1,26346.0,26428.25,26428.25,26222.625,-82.75,-166.74,SL,4805.670000000002
2026-04-16 11:50:00-04:00,2026-04-17 09:10:00-04:00,1,26508.0,26803.875,26310.75,26803.875,295.375,589.51,TP,5395.180000000002
2026-04-17 09:50:00-04:00,2026-04-20 11:00:00-04:00,1,26719.5,26602.0,26602.0,26895.75,-118.0,-237.24,SL,5157.940000000002
2026-04-20 11:30:00-04:00,2026-04-20 16:30:00-04:00,-1,26660.0,26774.75,26774.75,26487.875,-115.25,-231.74,SL,4926.200000000003
2026-04-21 11:25:00-04:00,2026-04-22 08:10:00-04:00,-1,26741.5,26885.5,26885.5,26525.5,-144.5,-290.24,SL,4635.960000000003
2026-04-22 11:05:00-04:00,2026-04-23 13:40:00-04:00,1,26977.5,26811.25,26811.25,27226.875,-166.75,-334.74,SL,4301.220000000003
2026-04-23 14:40:00-04:00,2026-04-23 20:25:00-04:00,-1,26937.5,27119.25,27119.25,26664.875,-182.25,-365.74,SL,3935.480000000003
2026-04-24 11:30:00-04:00,2026-04-28 07:20:00-04:00,1,27328.5,27167.5,27167.5,27570.0,-161.5,-324.24,SL,3611.2400000000034
2026-04-28 10:05:00-04:00,2026-04-28 10:35:00-04:00,1,27210.75,27113.5,27113.5,27356.625,-97.75,-196.74,SL,3414.5000000000036
2026-04-28 11:20:00-04:00,2026-04-28 19:30:00-04:00,-1,27069.0,27235.25,27235.25,26819.625,-166.75,-334.74,SL,3079.760000000004
2026-04-29 11:15:00-04:00,2026-04-29 12:30:00-04:00,1,27254.5,27177.5,27177.5,27370.0,-77.5,-156.24,SL,2923.520000000004
2026-04-29 12:55:00-04:00,2026-04-29 14:55:00-04:00,-1,27197.25,27273.75,27273.75,27082.5,-77.0,-155.24,SL,2768.2800000000043
2026-04-29 15:10:00-04:00,2026-04-29 16:10:00-04:00,1,27297.75,27170.25,27170.25,27489.0,-128.0,-257.24,SL,2511.0400000000045
2026-04-30 10:05:00-04:00,2026-04-30 13:55:00-04:00,-1,27236.0,27540.25,27540.25,26779.625,-304.75,-610.74,SL,1900.3000000000045
2026-04-30 14:30:00-04:00,2026-05-01 11:45:00-04:00,1,27572.75,27910.625,27347.5,27910.625,337.375,673.51,TP,2573.8100000000045
2026-05-01 12:15:00-04:00,2026-05-01 16:55:00-04:00,1,27863.75,27768.75,27768.75,28006.25,-95.5,-192.24,SL,2381.5700000000043
2026-05-04 10:10:00-04:00,2026-05-04 11:15:00-04:00,1,27891.75,27808.0,27808.0,28017.375,-84.25,-169.74,SL,2211.8300000000045
2026-05-04 12:05:00-04:00,2026-05-05 04:45:00-04:00,-1,27700.5,27941.25,27941.25,27339.375,-241.25,-483.74,SL,1728.0900000000045
2026-05-05 10:20:00-04:00,2026-05-05 18:00:00-04:00,1,28087.25,28263.125,27970.0,28263.125,175.375,349.51,TP,2077.6000000000045
2026-05-06 10:00:00-04:00,2026-05-06 13:35:00-04:00,-1,28419.25,28608.75,28608.75,28135.0,-190.0,-381.24,SL,1696.3600000000044
2026-05-06 14:05:00-04:00,2026-05-06 16:05:00-04:00,1,28607.5,28750.75,28512.0,28750.75,142.75,284.26,TP,1980.6200000000044
2026-05-07 10:35:00-04:00,2026-05-07 12:05:00-04:00,1,28880.75,28720.5,28720.5,29121.125,-160.75,-322.74,SL,1657.8800000000044
2026-05-07 12:35:00-04:00,2026-05-08 05:25:00-04:00,-1,28731.0,28896.75,28896.75,28482.375,-166.25,-333.74,SL,1324.1400000000044
2026-05-08 10:15:00-04:00,2026-05-12 11:25:00-04:00,1,29113.25,28859.25,28859.25,29494.25,-254.5,-510.24,SL,813.9000000000044
2026-05-12 11:50:00-04:00,2026-05-12 15:40:00-04:00,-1,28889.0,29127.25,29127.25,28531.625,-238.75,-478.74,SL,335.1600000000044
2026-05-13 10:35:00-04:00,2026-05-13 10:50:00-04:00,-1,29221.25,29305.0,29305.0,29095.625,-84.25,-169.74,SL,165.4200000000044
2026-05-13 10:50:00-04:00,2026-05-13 14:15:00-04:00,1,29280.75,29534.25,29111.75,29534.25,253.0,504.76,TP,670.1800000000044
2026-05-13 15:05:00-04:00,2026-05-13 18:50:00-04:00,1,29507.0,29605.625,29441.25,29605.625,98.125,195.01,TP,865.1900000000044
2026-05-14 10:15:00-04:00,2026-05-15 00:55:00-04:00,1,29605.75,29452.25,29452.25,29836.0,-154.0,-309.24,SL,555.9500000000044
2026-05-15 10:30:00-04:00,2026-05-15 16:05:00-04:00,1,29344.75,29131.75,29131.75,29664.25,-213.5,-428.24,SL,127.71000000000436
2026-05-18 10:15:00-04:00,2026-05-18 12:25:00-04:00,-1,29217.5,28913.75,29420.0,28913.75,303.25,605.26,TP,732.9700000000043
2026-05-18 13:10:00-04:00,2026-05-18 14:10:00-04:00,-1,28996.5,28921.125,29046.75,28921.125,74.875,148.51,TP,881.4800000000043
2026-05-18 14:45:00-04:00,2026-05-18 15:00:00-04:00,-1,28843.0,29023.25,29023.25,28572.625,-180.75,-362.74,SL,518.7400000000043
2026-05-18 15:30:00-04:00,2026-05-18 19:00:00-04:00,1,28961.0,29180.75,28814.5,29180.75,219.25,437.26,TP,956.0000000000043
2026-05-19 10:45:00-04:00,2026-05-19 12:55:00-04:00,-1,28699.25,29028.25,29028.25,28205.75,-329.5,-660.24,SL,295.7600000000043
2026-05-19 13:55:00-04:00,2026-05-21 13:40:00-04:00,1,29066.25,29478.75,28791.25,29478.75,412.0,822.76,TP,1118.5200000000043
2026-05-21 14:40:00-04:00,2026-05-26 02:10:00-04:00,1,29460.0,29838.75,29207.5,29838.75,378.25,755.26,TP,1873.7800000000043
2026-05-26 10:10:00-04:00,2026-05-26 11:50:00-04:00,1,30020.25,29901.0,29901.0,30199.125,-119.75,-240.74,SL,1633.0400000000043
2026-05-26 12:55:00-04:00,2026-05-26 20:45:00-04:00,1,29983.5,30130.125,29885.75,30130.125,146.125,291.01,TP,1924.0500000000043
2026-05-27 10:05:00-04:00,2026-05-29 09:25:00-04:00,-1,30033.75,30379.25,30379.25,29515.5,-346.0,-693.24,SL,1230.8100000000043
2026-05-29 11:40:00-04:00,2026-05-31 20:25:00-04:00,-1,30385.0,30536.25,30536.25,30158.125,-151.75,-304.74,SL,926.0700000000043
