entry_time,exit_time,dir,entry,exit,sl,tp,points,pnl,reason,equity
2024-01-08 19:00:00-05:00,2024-01-24 01:00:00-05:00,1,16791.0,17617.0,16378.0,17617.0,825.5,1649.76,TP,1649.76
2024-01-24 07:00:00-05:00,2024-01-31 04:00:00-05:00,1,17662.5,17409.25,17409.25,18169.0,-253.75,-508.74,SL,1141.02
2024-01-31 09:00:00-05:00,2024-02-01 16:00:00-05:00,-1,17384.0,17608.75,17608.75,16934.5,-225.25,-451.74,SL,689.28
2024-02-02 03:00:00-05:00,2024-03-01 13:00:00-05:00,1,17607.0,18293.5,17263.75,18293.5,686.0,1370.76,TP,2060.04
2024-03-03 18:00:00-05:00,2024-03-05 09:00:00-05:00,1,18335.5,18029.25,18029.25,18948.0,-306.75,-614.74,SL,1445.3
2024-03-06 01:00:00-05:00,2024-03-07 09:00:00-05:00,-1,17976.25,18183.0,18183.0,17562.75,-207.25,-415.74,SL,1029.56
2024-03-07 22:00:00-05:00,2024-03-11 09:00:00-04:00,1,18274.0,17915.5,17915.5,18991.0,-359.0,-719.24,SL,310.31999999999994
2024-03-11 15:00:00-04:00,2024-03-11 20:00:00-04:00,-1,17958.0,18052.0,18052.0,17770.0,-94.5,-190.24,SL,120.07999999999993
2024-03-12 06:00:00-04:00,2024-03-15 09:00:00-04:00,1,18054.5,17890.5,17890.5,18382.5,-164.5,-330.24,SL,-210.16000000000008
2024-03-18 04:00:00-04:00,2024-04-15 22:00:00-04:00,1,18169.25,17831.5,17831.5,18844.75,-338.25,-677.74,SL,-887.9000000000001
2024-04-16 02:00:00-04:00,2024-04-16 07:00:00-04:00,-1,17840.75,17894.0,17894.0,17734.25,-53.75,-108.74,SL,-996.6400000000001
2024-04-16 11:00:00-04:00,2024-04-17 02:00:00-04:00,1,17931.75,17795.5,17795.5,18204.25,-136.75,-274.74,SL,-1271.38
2024-04-18 03:00:00-04:00,2024-04-18 21:00:00-04:00,-1,17740.0,17282.5,17968.75,17282.5,457.0,912.76,TP,-358.6200000000001
2024-04-19 04:00:00-04:00,2024-04-24 01:00:00-04:00,-1,17413.0,17746.25,17746.25,16746.5,-333.75,-668.74,SL,-1027.3600000000001
2024-04-24 06:00:00-04:00,2024-04-24 12:00:00-04:00,1,17709.25,17591.75,17591.75,17944.25,-118.0,-237.24,SL,-1264.6000000000001
